A	archive file	ar (Unix)
ACCDB[1]	Microsoft Access Database	Microsoft Access Database (Open XML)
ACCFT[2]	Microsoft Access Data Type Template	Microsoft Access
ADICHT	LabChart data acquisition file	ADInstruments
ADT	Abrechnungsdatentransfer, an xDT application	Healthcare providers in Germany
ADX	Document	Archetype Designer
ADZ	Amiga Disk Zipped (See Amiga Disk File)	GZip
AGR	ArcView ASCII grid	
AHK	AutoHotkey script file	AutoHotkey
AI[3]	Adobe Illustrator Artwork	Adobe Illustrator
AIFF	Audio Interchange File Format	Convert (c) Villena
AIO	APL programming language file transfer format file	
AIR	Adobe AIR installation package	The Adobe AIR runtime environment
AKM	"Akai Multitimbral" sample information file	Akai S5000 and S6000 hardware samplers (MS-DOS-based) and compatible software samplers
AKP	"Akai Program" sample information file	Akai S5000 and S6000 hardware samplers (MS-DOS-based) and compatible software samplers
ALC	Molecular coordinates	Alchemy, RasMol
ALE	Avid Log Exchange (used in film & video editing)	Avid
ALL	General printer information	WordPerfect for Win
AMF[4][5]	Additive Manufacturing File Format	Computer Aided Design Software
AMG	System image file	ACTOR
AML[6]	AutomationML	AutomationML Group
AMLX[6]	Compressed and packed AutomationML file	AutomationML Group
AMPL	AMPL source code file	AMPL
ANI[7]	Animation cursors for Win	Win95 - WinNT
ANN	Annotations of old Windows Help file	Windows 3.0 - XP
APE	Monkey's Audio (Lossless)	audio media players
AR	Argon - for 3D Modeling	Ashlar-Vellum
ARC[8]	ARC (file format)	
ART[9]	Gerber format	Cadence Allegro, Eagle
ASAX[10]	ASP.NET global application file	
ASCX[10]	ASP.NET User Control	
ASF[11]	Advanced Streaming Format (Compressed Windows audio/video)	Microsoft Corporation
ASHX	ASP.NET handler file[10]	
ASM	Assembler language source	TASM, MASM, NASM, Yasm, FASM
ASX[12]	Advanced Stream Redirector file, redirects to an ASF file (see ASF)	Microsoft Corporation
AT3[13]	Atrac 3 Sound/music file	All Sony devices and programs with the Atrac 3+ specification
ATY	Produced when an association type is exported by 3D Topicscape	3D Topicscape
AVI[14][15]	Audio Video Interleave	Video for Windows
AWK	AWK script/program	awk, GNU Awk, mawk, nawk, MKS AWK, Awka (compiler)
AXF[16]	"lightweight geodatabase"	ESRI ArcPad

B	BASIC language source or Grand Theft Auto 3 save file	
BAR	Broker Archive. Compressed file containing number of other files for deployment.[17]	IBM WebSphere Message Broker
BAS	BASIC language source	QuickBASIC - GW-BASIC - FreeBASIC - others
BAT	Batch file	MS-DOS, RT-11
BDT	Behandlungsdatentransfer, an xDT application	Healthcare providers in Germany
BEAM	Executable bytecode file in fat binary format	BEAM (Erlang virtual machine)[18]
BM3	UIQ3 Phone backup	
BMP[19]	OS/2 or Win graphics format (BitMap Picture)	QPeg - CorelDraw - PC Paintbrush - many
BPS	WPS backup file[20]	Microsoft Word, Microsoft Works
BZ2[21]	Archive	bzip2

C--	C-- language source	Sphinx C--
C	C language source
C	Unix file archive	COMPACT
C++	C++ language source
CPP	C++ language source	
C32	COMBOOT Executable (32-bit)	SYSLINUX
CAB[23]	Cabinet archive	Windows 95 and later, many file archivers
CBT	COMBOOT Executable (incompatible with DOS COM files)	SYSLINUX
CD	ASP.NET class diagram file[10]	
CDF[24]	Common Data Format	
CDF[25]	Computable Document Format	Mathematica
CDR[26]	Vector graphics format (drawinF	CorelDraw
CER[27]	Security certificate	Microsoft Windows
CGM[28][29]	Computer Graphics Metafile vector graphics	A&L - HG - many
CHM[30]	Compiled Help File	Microsoft Windows, Help Explorer Viewer
CHO[31]	ChordPro lead sheet (lyrics and chords)	ChordPro and similar tools
CIF[32][33]	Crystallographic Information File	RasMol, Jmol
CLASS[34]	Java class file	Java
CMD	Command Prompt batch file	Microsoft Windows NT based operating systems
CMD[35]	executable programs	CP/M-86 operating system
CMOD[36]	Celestia Model	Celestia
COE[37]	Coefficient file	Xilinx ISE
COMPILE[10]	ASP.NET precompiled stub file	
COPAC	Copac bibliographic reference file	
CPC[38]	Compressed image	Cartesian Perceptual Compression
CPL[39]	Control panel file	Windows 3.x
CR2[40]	Raw image format	Canon digital cameras
CRAI[41]	CRAM index	
CRT[42]	Security certificate	Microsoft Windows
CSPROJ[43][44]	C# project file	Microsoft Visual Studio
CSS[45]	cascading style sheet	
CSV[46]	Comma Separated Values text file format (ASCII)	

D	D Programming Language source file	DMD
D	Directory containing configuration files (informal standard)	Unix
D3V	Video file	Nintendo DS (with ARME, MMCF etc.)
D4D	Data	Draw 4D object
D4P	Data	Draw 4D Pro object
D64	Commodore 64 disk image	
D88	Toshiba Pasopeia D88 disk image format	A series of emulators of Japanese computers
DAA	Direct Access Archive	
DAE	COLLADA file	
DAF	Data file	Digital Anchor
DAL	Digidim system	Helvar Digidim Toolbox
DAT	AMPL data file	AMPL
DAT	Maxum chromatograph chromatogram	Siemens Maxum Chromatograph
DAT	LDraw (Sub)Part File, 3D Model	LDraw
DAT	Document	Microsoft Word Format (old)
DAT	data	RSNetWorx Project
DAT	Data file in special format or ASCII	
DAT	Database file	Clarion (programming language)
DAT	Norton Utilities disc image data. It saves Boot sector, part of FAT and root directory in image.DAT on same drive.	Norton Utilities
DAT	Optical disc image (can be ISO9660, but not restricted to)	cdrdao, burnatonce
DAT	Video CD MPEG stream
DAT	Windows registry hive (REG.DAT Windows 3.11; USER.DAT and SYSTEM.DAT Windows 95, 98, and ME; NTUSER.DAT Windows NT/2000/XP/7)	Microsoft Windows
DAT	Minecraft game data	Minecraft
DATS	Dynamic source	ATS
DAV	Proprietary DVR format	Recorded encrypted video from digital video recorders DVR365 or AlienDVR series[47]
